1,3,3,3,1,2,,,3,,,,,,
2,3,3,3,4,,,,4,,,,,,
3,1,1,1,1,1,,,1,,,,,,
4,2,2,2,1,1,,,2,,,,,,
5,3,3,3,3,3,,,3,,,,,,
6,3,4,,,,,,4,,,,,,
7,3,3,1,3,3,,,3,,,,,,
8,3,2,3,3,3,,,3,,,,,,
9,4,,,,,,,4,,,,,,
10,2,3,2,2,3,,,3,,,,,,
11,3,2,2,2,1,,,3,,,,,,
12,1,2,1,2,3,,,3,,,,,,
13,4,,,,,,,4,,,,,,
14,3,3,3,3,3,,,3,,,,,,
15,3,3,3,3,3,,,3,,,,,,
26,1,1,1,1,1,,,1,,,,,,
27,1,2,1,2,2,,,2,,,,,,
28,2,1,1,3,3,,,3,,,,,,
29,2,1,1,1,1,,,2,,,,,,
30,3,1,3,3,3,,,3,,,,,,
31,2,3,1,1,1,,,3,,,,,,
32,1,1,1,1,1,,,1,,,,,,
33,2,1,1,1,1,,,2,,,,,,
34,2,1,2,2,1,,,2,,,,,,
35,3,3,3,3,3,,,3,,,,,,
36,2,2,1,1,1,,,2,,,,,,
37,2,1,2,1,1,,,2,,,,,,
38,3,1,1,1,1,,,3,,,,,,
39,1,1,1,1,1,,,1,,,,,,
40,1,3,3,2,3,,,3,,,,,,
51,3,3,3,2,1,,,3,,,,,,
52,3,2,2,1,3,,,3,,,,,,
53,2,1,1,1,1,,,2,,,,,,
54,2,2,2,3,1,,,3,,,,,,
55,3,3,3,1,1,,,3,,,,,,
56,1,1,2,1,2,,,2,,,,,,
57,3,3,3,3,3,,,3,,,,,,
58,1,2,2,2,3,,,3,,,,,,
59,3,2,2,2,3,,,3,,,,,,
60,3,3,3,3,3,,,3,,,,,,
61,3,3,3,1,3,,,3,,,,,,
62,3,3,3,3,3,,,3,,,,,,
63,3,1,2,3,3,,,3,,,,,,
64,3,3,2,3,2,,,3,,,,,,
65,3,2,1,1,2,,,3,,,,,,
76,2,1,2,2,3,,,3,,,,,,
77,2,2,1,1,1,,,2,,,,,,
78,3,3,1,1,1,,,3,,,,,,
79,1,3,2,3,3,,,3,,,,,,
80,2,1,2,1,1,,,2,,,,,,
81,2,3,3,2,3,,,3,,,,,,
82,2,2,2,1,1,,,2,,,,,,
83,3,2,2,1,3,,,3,,,,,,
84,2,2,1,2,1,,,2,,,,,,
85,3,2,2,2,1,,,3,,,,,,
86,2,3,3,3,3,,,3,,,,,,
87,1,2,1,2,1,,,2,,,,,,
88,3,3,2,1,1,,,3,,,,,,
89,2,2,1,2,1,,,2,,,,,,
90,2,2,3,3,3,,,3,,,1,2,3,4
,,,,,,,,,,,4,15,37,4
